uid,d,t,x,y,combined_xy
26,0,6,147,100,19946
26,0,10,147,101,20146
26,0,12,147,101,20146
26,0,19,151,114,22750
26,0,20,146,121,24145
26,0,23,146,120,23945
26,0,24,147,121,24146
26,0,25,150,114,22749
26,0,26,147,101,20146
26,0,28,145,103,20544
26,0,30,140,108,21539
26,0,33,140,107,21339
26,0,34,143,104,20742
26,0,37,147,100,19946
26,0,38,152,100,19951
26,0,42,147,101,20146
26,0,43,147,102,20346
26,1,15,150,110,21949
26,1,16,151,119,23750
26,1,17,149,122,24348
26,1,18,145,126,25144
26,1,19,145,126,25144
26,1,20,144,126,25143
26,1,23,145,126,25144
26,1,24,144,127,25343
26,1,25,115,132,26314
26,1,27,116,133,26515
26,1,30,117,133,26516
26,1,31,120,139,27719
26,1,32,151,124,24750
26,1,33,151,119,23750
26,1,34,151,119,23750
26,1,36,150,118,23549
26,1,37,147,101,20146
26,2,8,147,100,19946
26,2,10,147,101,20146
26,2,15,151,107,21350
26,2,16,151,113,22550
26,2,17,151,119,23750
26,2,18,151,125,24950
26,2,19,149,127,25348
26,2,20,118,135,26917
26,2,23,116,132,26315
26,2,25,115,132,26314
26,2,26,116,133,26515
26,2,32,119,136,27118
26,2,33,151,128,25550
26,2,34,151,119,23750
26,2,35,150,119,23749
26,2,37,151,114,22750
26,3,15,148,102,20347
26,3,16,151,115,22950
26,3,17,144,114,22743
26,3,18,119,122,24318
26,3,19,114,129,25713
26,3,23,116,132,26315
26,3,25,110,129,25709
26,3,26,113,132,26312
26,3,27,116,133,26515
26,3,31,120,133,26519
26,3,32,131,129,25730
26,3,33,147,123,24546
26,3,34,150,119,23749
26,3,35,151,119,23750
26,3,36,150,119,23749
26,3,37,151,113,22550
26,3,38,147,101,20146
26,4,15,146,100,19945
26,4,16,151,117,23350
26,4,17,150,108,21549
26,4,18,148,101,20147
26,4,19,148,103,20547
26,4,20,150,120,23949
26,4,21,151,119,23750
26,4,22,151,107,21350
26,4,23,150,120,23949
26,4,24,151,108,21550
26,4,25,149,103,20548
26,4,28,148,101,20147
26,4,29,148,102,20347
26,4,30,150,116,23149
26,4,31,150,119,23749
26,4,32,150,119,23749
26,4,33,151,119,23750
26,4,34,151,119,23750
26,4,35,150,120,23949
26,4,36,150,119,23749
26,4,39,147,101,20146
26,4,40,150,119,23749
26,4,41,150,109,21749
26,4,42,147,101,20146
26,5,12,147,100,19946
26,5,13,147,101,20146
26,5,15,147,101,20146
26,5,16,151,119,23750
26,5,18,147,117,23346
26,5,19,137,111,22136
26,5,20,110,129,25709
26,5,25,109,129,25708
26,5,26,110,129,25709
355,0,4,127,80,15926
355,0,5,127,80,15926
355,0,6,128,80,15927
355,0,7,128,80,15927
355,0,9,128,79,15727
355,0,10,127,80,15926
355,0,11,116,90,17915
355,0,12,115,103,20514
355,0,21,110,88,17509
355,0,22,111,87,17310
